,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
1,Afghanistan,AFG,1/1/2020,3/24/2020,0_no_measures,missing,,,,,,
2,Afghanistan,AFG,3/25/2020,5/31/2020,2_required_exceptions,0_targeted,FALSE,,,,TRUE,
3,Albania,ALB,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
4,Albania,ALB,3/13/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
5,Algeria,DZA,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
6,Algeria,DZA,3/23/2020,4/23/2020,3_required,0_targeted,TRUE,,,,TRUE,FALSE
7,Algeria,DZA,4/24/2020,5/31/2020,2_required_exceptions,0_targeted,update,4/1/2020,2_required_exceptions,1_general,TRUE,FALSE
8,Andorra,AND,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
9,Andorra,AND,3/13/2020,5/31/2020,1_recommended,1_general,FALSE,,,,,TRUE
11,Angola,AGO,3/27/2020,5/25/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
12,Angola,AGO,5/26/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
10,Angola,AGO,1/1/2020,3/26/2020,0_no_measures,missing,,,,,,
13,Anguilla,AIA,1/1/2020,3/26/2020,0_no_measures,missing,NA,,,,,
15,Anguilla,AIA,4/29/2020,5/31/2020,0_no_measures,missing,NA,,,,,
14,Anguilla,AIA,3/27/2020,4/28/2020,2_required_exceptions,1_general,NA,,,,,
16,Argentina,ARG,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
17,Argentina,ARG,3/19/2020,4/26/2020,3_required,1_general,TRUE,,,,FALSE,
18,Argentina,ARG,4/27/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
19,Aruba,ABW,1/1/2020,3/20/2020,0_no_measures,missing,,,,,,
20,Aruba,ABW,3/21/2020,3/28/2020,1_recommended,1_general,update,3/21/2020,2_required_exceptions,1_general,FALSE,FALSE
21,Aruba,ABW,3/29/2020,4/9/2020,2_required_exceptions,1_general,update,3/29/2020,3_required,1_general,FALSE,FALSE
22,Aruba,ABW,4/10/2020,4/10/2020,3_required,1_general,TRUE,,,,FALSE,
23,Aruba,ABW,4/11/2020,4/11/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
24,Aruba,ABW,4/12/2020,4/13/2020,3_required,1_general,TRUE,,,,FALSE,
25,Aruba,ABW,4/14/2020,5/27/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
26,Aruba,ABW,5/28/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,
27,Australia,AUS,1/1/2020,3/23/2020,0_no_measures,missing,TRUE,,,,FALSE,
32,Australia,AUS,5/29/2020,5/31/2020,0_no_measures,missing,TRUE,,,,FALSE,
28,Australia,AUS,3/24/2020,4/1/2020,1_recommended,1_general,update,3/24/2020,2_required_exceptions,1_general,FALSE,FALSE
29,Australia,AUS,4/2/2020,5/14/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
30,Australia,AUS,5/15/2020,5/24/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
31,Australia,AUS,5/25/2020,5/28/2020,1_recommended,0_targeted,TRUE,,,,FALSE,FALSE
33,Austria,AUT,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
35,Austria,AUT,5/1/2020,5/31/2020,0_no_measures,missing,,,,,,
34,Austria,AUT,3/16/2020,4/30/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
36,Azerbaijan,AZE,1/1/2020,3/30/2020,0_no_measures,missing,,,,,,
37,Azerbaijan,AZE,3/31/2020,5/17/2020,3_required,1_general,update,3/24/2020,3_required,1_general,FALSE,FALSE
38,Azerbaijan,AZE,5/18/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
40,Bahrain,BHR,3/18/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
39,Bahrain,BHR,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
41,Bangladesh,BGD,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
42,Bangladesh,BGD,3/19/2020,3/24/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
43,Bangladesh,BGD,3/25/2020,4/9/2020,1_recommended,1_general,update,3/25/2020,3_required,1_general,TRUE,FALSE
44,Bangladesh,BGD,4/10/2020,5/30/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
45,Bangladesh,BGD,5/31/2020,5/31/2020,1_recommended,1_general,TRUE,,,,TRUE,FALSE
46,Barbados,BRB,1/1/2020,3/27/2020,0_no_measures,missing,,,,,,
47,Barbados,BRB,3/28/2020,4/2/2020,1_recommended,1_general,update,3/28/2020,2_required_exceptions,1_general,FALSE,FALSE
48,Barbados,BRB,4/3/2020,5/3/2020,3_required,1_general,update,4/3/2020,3_required,1_general,FALSE,FALSE
49,Barbados,BRB,5/4/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
50,Belarus,BLR,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
51,Belgium,BEL,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
52,Belgium,BEL,3/18/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
53,Belize,BLZ,1/1/2020,4/26/2020,0_no_measures,missing,,,,,,
54,Belize,BLZ,4/27/2020,5/14/2020,2_required_exceptions,0_targeted,update,4/1/2020,2_required_exceptions,1_general,TRUE,FALSE
55,Belize,BLZ,5/15/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,
56,Benin,BEN,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
57,Bermuda,BMU,1/1/2020,4/3/2020,0_no_measures,missing,,,,,,
58,Bermuda,BMU,4/4/2020,5/1/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
59,Bermuda,BMU,5/2/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,
60,Bhutan,BTN,1/1/2020,3/25/2020,0_no_measures,missing,,,,,,
61,Bhutan,BTN,3/26/2020,5/31/2020,1_recommended,1_general,FALSE,,,,,TRUE
62,Bolivia,BOL,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
63,Bolivia,BOL,3/17/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
64,Bosnia and Herzegovina,BIH,1/1/2020,3/19/2020,0_no_measures,missing,,,,,,
68,Bosnia and Herzegovina,BIH,5/21/2020,5/31/2020,0_no_measures,missing,,,,,,
65,Bosnia and Herzegovina,BIH,3/20/2020,4/23/2020,3_required,0_targeted,update,3/17/2020,2_required_exceptions,1_general,FALSE,FALSE
66,Bosnia and Herzegovina,BIH,4/24/2020,5/13/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
67,Bosnia and Herzegovina,BIH,5/14/2020,5/20/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,
69,Botswana,BWA,1/1/2020,4/1/2020,0_no_measures,missing,,,,,,
70,Botswana,BWA,4/2/2020,5/19/2020,2_required_exceptions,0_targeted,update,4/2/2020,3_required,1_general,FALSE,FALSE
71,Botswana,BWA,5/20/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
73,Brazil,BRA,3/13/2020,5/4/2020,1_recommended,0_targeted,FALSE,,,,FALSE,TRUE
74,Brazil,BRA,5/5/2020,5/31/2020,2_required_exceptions,0_targeted,FALSE,,,,FALSE,TRUE
72,Brazil,BRA,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
75,British Virgin Islands,VGB,1/1/2020,3/24/2020,0_no_measures,missing,NA,,,,,
76,British Virgin Islands,VGB,3/25/2020,3/26/2020,2_required_exceptions,1_general,NA,,,,,
77,British Virgin Islands,VGB,3/27/2020,4/26/2020,3_required,1_general,NA,,,,,
78,British Virgin Islands,VGB,4/27/2020,5/31/2020,2_required_exceptions,1_general,NA,,,,,
79,Brunei,BRN,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
80,Bulgaria,BGR,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
85,Bulgaria,BGR,5/31/2020,5/31/2020,0_no_measures,missing,FALSE,,,,TRUE,TRUE
81,Bulgaria,BGR,3/18/2020,3/31/2020,2_required_exceptions,0_targeted,FALSE,,,,TRUE,TRUE
82,Bulgaria,BGR,4/1/2020,4/14/2020,1_recommended,1_general,FALSE,,,,TRUE,TRUE
83,Bulgaria,BGR,4/15/2020,5/7/2020,2_required_exceptions,0_targeted,FALSE,,,,TRUE,TRUE
84,Bulgaria,BGR,5/8/2020,5/30/2020,1_recommended,1_general,FALSE,,,,TRUE,TRUE
86,Burkina Faso,BFA,1/1/2020,3/20/2020,0_no_measures,missing,TRUE,,,,FALSE,FALSE
87,Burkina Faso,BFA,3/21/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
88,Burundi,BDI,1/1/2020,3/4/2020,0_no_measures,missing,NA,,,,,
89,Burundi,BDI,3/5/2020,5/31/2020,3_required,1_general,NA,,,,,
90,Cambodia,KHM,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
91,Cameroon,CMR,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
93,Canada,CAN,3/14/2020,3/15/2020,1_recommended,0_targeted,TRUE,,,,TRUE,FALSE
94,Canada,CAN,3/16/2020,5/31/2020,1_recommended,1_general,update,3/23/2020,3_required,1_general,TRUE,FALSE
92,Canada,CAN,1/1/2020,3/13/2020,0_no_measures,missing,,,,,,
95,Cape Verde,CPV,1/1/2020,3/19/2020,0_no_measures,missing,,,,,,
96,Cape Verde,CPV,3/20/2020,3/31/2020,1_recommended,0_targeted,TRUE,,,,TRUE,FALSE
97,Cape Verde,CPV,4/1/2020,5/31/2020,2_required_exceptions,1_general,update,3/27/2020,2_required_exceptions,1_general,TRUE,FALSE
98,Cayman Islands,CYM,1/1/2020,3/23/2020,0_no_measures,missing,NA,,,,,
99,Cayman Islands,CYM,3/24/2020,3/24/2020,2_required_exceptions,1_general,NA,,,,,
100,Cayman Islands,CYM,3/25/2020,3/27/2020,3_required,1_general,NA,,,,,
101,Cayman Islands,CYM,3/28/2020,4/15/2020,2_required_exceptions,1_general,NA,,,,,
102,Cayman Islands,CYM,4/16/2020,5/4/2020,3_required,1_general,NA,,,,,
103,Cayman Islands,CYM,5/5/2020,5/31/2020,2_required_exceptions,0_targeted,NA,,,,,
104,Central African Republic,CAF,1/1/2020,5/7/2020,0_no_measures,missing,,,,,,
105,Central African Republic,CAF,5/8/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
106,Chad,TCD,1/1/2020,4/1/2020,0_no_measures,missing,,,,,,
107,Chad,TCD,4/2/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
108,Chile,CHL,1/1/2020,3/24/2020,0_no_measures,missing,,,,,,
109,Chile,CHL,3/25/2020,5/14/2020,2_required_exceptions,1_general,update,3/22/2020,2_required_exceptions,,FALSE,FALSE
110,Chile,CHL,5/15/2020,5/31/2020,3_required,0_targeted,update,3/22/2020,2_required_exceptions,,FALSE,FALSE
111,China,CHN,1/1/2020,1/22/2020,0_no_measures,missing,,,,,,
112,China,CHN,1/23/2020,1/31/2020,1_recommended,0_targeted,FALSE,,,,TRUE,TRUE
113,China,CHN,2/1/2020,4/7/2020,3_required,0_targeted,FALSE,,,,TRUE,TRUE
114,China,CHN,4/8/2020,5/9/2020,1_recommended,0_targeted,FALSE,,,,TRUE,TRUE
115,China,CHN,5/10/2020,5/31/2020,3_required,0_targeted,FALSE,,,,TRUE,TRUE
116,Colombia,COL,1/1/2020,3/24/2020,0_no_measures,missing,,,,,,
117,Colombia,COL,3/25/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
118,Congo,COG,1/1/2020,3/27/2020,0_no_measures,missing,,,,,,
119,Congo,COG,3/28/2020,5/17/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
120,Congo,COG,5/18/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
122,Costa Rica,CRI,4/1/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
121,Costa Rica,CRI,1/1/2020,3/31/2020,0_no_measures,missing,,,,,,
123,Cote d'Ivoire,CIV,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
124,Cote d'Ivoire,CIV,3/23/2020,5/31/2020,1_recommended,1_general,update,3/24/2020,2_required_exceptions,1_general,FALSE,FALSE
125,Croatia,HRV,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
126,Croatia,HRV,3/23/2020,5/10/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
127,Croatia,HRV,5/11/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
128,Cuba,CUB,1/1/2020,3/23/2020,0_no_measures,missing,,,,,,
129,Cuba,CUB,3/24/2020,5/4/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
130,Cuba,CUB,5/5/2020,5/10/2020,2_required_exceptions,1_general,update,4/26/2020,2_required_exceptions,1_general,TRUE,FALSE
131,Cuba,CUB,5/11/2020,5/31/2020,3_required,1_general,TRUE,,,,TRUE,FALSE
133,Cyprus,CYP,3/24/2020,5/20/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
134,Cyprus,CYP,5/21/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
132,Cyprus,CYP,1/1/2020,3/23/2020,0_no_measures,missing,,,,,,
136,Czech Republic,CZE,3/15/2020,4/20/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
137,Czech Republic,CZE,4/21/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
135,Czech Republic,CZE,1/1/2020,3/14/2020,0_no_measures,missing,,,,,,
138,Democratic Republic of Congo,COD,1/1/2020,4/5/2020,0_no_measures,missing,,,,,,
139,Democratic Republic of Congo,COD,4/6/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
140,Denmark,DNK,1/1/2020,3/2/2020,0_no_measures,missing,NA,,,,,
141,Denmark,DNK,3/3/2020,5/31/2020,1_recommended,1_general,NA,,,,,
142,Djibouti,DJI,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
144,Djibouti,DJI,5/17/2020,5/31/2020,0_no_measures,missing,,,,,,
143,Djibouti,DJI,3/23/2020,5/16/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
145,Dominica,DMA,1/1/2020,3/31/2020,0_no_measures,missing,,,,,,
146,Dominica,DMA,4/1/2020,5/11/2020,2_required_exceptions,1_general,update,3/28/2020,2_required_exceptions,1_general,FALSE,FALSE
147,Dominica,DMA,5/12/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
149,Dominican Republic,DOM,3/17/2020,4/17/2020,1_recommended,1_general,update,3/20/2020,2_required_exceptions,1_general,FALSE,FALSE
150,Dominican Republic,DOM,4/18/2020,4/27/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
151,Dominican Republic,DOM,4/28/2020,5/17/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
152,Dominican Republic,DOM,5/18/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
148,Dominican Republic,DOM,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
154,Ecuador,ECU,3/17/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
153,Ecuador,ECU,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
156,Egypt,EGY,3/25/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
155,Egypt,EGY,1/1/2020,3/24/2020,0_no_measures,missing,,,,,,
157,El Salvador,SLV,1/1/2020,3/20/2020,0_no_measures,missing,,,,,,
158,El Salvador,SLV,3/21/2020,5/31/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
159,Eritrea,ERI,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
160,Eritrea,ERI,3/23/2020,3/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
161,Eritrea,ERI,4/1/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
162,Estonia,EST,1/1/2020,3/28/2020,0_no_measures,missing,,,,,,
164,Estonia,EST,5/18/2020,5/31/2020,0_no_measures,missing,,,,,,
163,Estonia,EST,3/29/2020,5/17/2020,2_required_exceptions,0_targeted,FALSE,,,,TRUE,FALSE
165,Eswatini,SWZ,1/1/2020,3/26/2020,0_no_measures,missing,,,,,,
166,Eswatini,SWZ,3/27/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
167,Ethiopia,ETH,1/1/2020,4/7/2020,0_no_measures,missing,NA,,,,,
168,Ethiopia,ETH,4/8/2020,5/31/2020,1_recommended,1_general,NA,,,,,
169,Falkland Islands,FLK,1/1/2020,3/25/2020,0_no_measures,missing,NA,,,,,
171,Falkland Islands,FLK,5/11/2020,5/31/2020,0_no_measures,missing,NA,,,,,
170,Falkland Islands,FLK,3/26/2020,5/10/2020,1_recommended,1_general,NA,,,,,
172,Fiji,FJI,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
173,Fiji,FJI,3/19/2020,3/29/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
174,Fiji,FJI,3/30/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
176,Finland,FIN,3/16/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
175,Finland,FIN,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
177,France,FRA,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
178,France,FRA,3/17/2020,5/10/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
179,France,FRA,5/11/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
180,Gabon,GAB,1/1/2020,3/20/2020,0_no_measures,missing,,,,,,
181,Gabon,GAB,3/21/2020,4/9/2020,1_recommended,1_general,TRUE,,,,TRUE,TRUE
182,Gabon,GAB,4/10/2020,5/10/2020,2_required_exceptions,0_targeted,update,4/14/2020,2_required_exceptions,1_general,TRUE,TRUE
183,Gabon,GAB,5/11/2020,5/31/2020,1_recommended,1_general,TRUE,,,,TRUE,TRUE
184,Gambia,GMB,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
185,Gambia,GMB,3/18/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
186,Georgia,GEO,1/1/2020,3/8/2020,0_no_measures,missing,,,,,,
187,Georgia,GEO,3/9/2020,3/22/2020,1_recommended,1_general,TRUE,,,,TRUE,TRUE
188,Georgia,GEO,3/23/2020,3/25/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,TRUE
189,Georgia,GEO,3/26/2020,3/30/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,TRUE
190,Georgia,GEO,3/31/2020,5/22/2020,3_required,1_general,TRUE,,,,TRUE,TRUE
191,Georgia,GEO,5/23/2020,5/28/2020,1_recommended,1_general,TRUE,,,,TRUE,TRUE
192,Georgia,GEO,5/29/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,TRUE
193,Germany,DEU,1/1/2020,3/8/2020,0_no_measures,missing,,,,,,
196,Germany,DEU,5/6/2020,5/31/2020,0_no_measures,missing,,,,,,
194,Germany,DEU,3/9/2020,3/20/2020,1_recommended,1_general,TRUE,,,,TRUE,TRUE
195,Germany,DEU,3/21/2020,5/5/2020,2_required_exceptions,0_targeted,update,3/22/2020,2_required_exceptions,1_general,TRUE,TRUE
198,Ghana,GHA,3/30/2020,4/17/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
199,Ghana,GHA,4/18/2020,4/18/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
197,Ghana,GHA,1/1/2020,3/29/2020,0_no_measures,missing,,,,,,
200,Ghana,GHA,4/19/2020,5/31/2020,0_no_measures,missing,,,,,,
201,Gibraltar,GIB,1/1/2020,3/16/2020,0_no_measures,missing,NA,,,,,
204,Gibraltar,GIB,5/22/2020,5/31/2020,0_no_measures,missing,NA,,,,,
202,Gibraltar,GIB,3/17/2020,4/28/2020,3_required,1_general,NA,,,,,
203,Gibraltar,GIB,4/29/2020,5/21/2020,2_required_exceptions,1_general,NA,,,,,
205,Greece,GRC,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
206,Greece,GRC,3/23/2020,5/29/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
207,Greece,GRC,5/30/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
208,Greenland,GRL,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
209,Greenland,GRL,3/18/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
210,Guam,GUM,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
211,Guam,GUM,3/16/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
212,Guatemala,GTM,1/1/2020,3/21/2020,0_no_measures,missing,,,,,,
213,Guatemala,GTM,3/22/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
214,Guinea,GIN,1/1/2020,3/29/2020,0_no_measures,missing,,,,,,
215,Guinea,GIN,3/30/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
216,Guyana,GUY,1/1/2020,3/25/2020,0_no_measures,missing,,,,,,
217,Guyana,GUY,3/26/2020,4/2/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
218,Guyana,GUY,4/3/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
219,Haiti,HTI,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
220,Haiti,HTI,3/19/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
222,Honduras,HND,3/16/2020,5/31/2020,3_required,1_general,update,3/21/2020,2_required_exceptions,1_general,TRUE,FALSE
221,Honduras,HND,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
223,Hong Kong,HKG,1/1/2020,2/7/2020,0_no_measures,missing,NA,,,,,
224,Hong Kong,HKG,2/8/2020,5/31/2020,1_recommended,1_general,NA,,,,,
225,Hungary,HUN,1/1/2020,3/11/2020,0_no_measures,missing,,,,,,
226,Hungary,HUN,3/12/2020,3/26/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
227,Hungary,HUN,3/27/2020,5/3/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
228,Hungary,HUN,5/4/2020,5/17/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,TRUE
229,Hungary,HUN,5/18/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
230,Iceland,ISL,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
231,India,IND,1/1/2020,1/25/2020,0_no_measures,missing,,,,,,
232,India,IND,1/26/2020,3/21/2020,1_recommended,0_targeted,TRUE,,,,TRUE,TRUE
233,India,IND,3/22/2020,3/22/2020,3_required,1_general,TRUE,,,,TRUE,TRUE
234,India,IND,3/23/2020,3/24/2020,3_required,0_targeted,TRUE,,,,TRUE,TRUE
235,India,IND,3/25/2020,5/3/2020,3_required,1_general,TRUE,,,,TRUE,TRUE
236,India,IND,5/4/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,TRUE
238,Indonesia,IDN,4/10/2020,5/31/2020,2_required_exceptions,0_targeted,FALSE,,,,TRUE,FALSE
237,Indonesia,IDN,1/1/2020,4/9/2020,0_no_measures,missing,,,,,,
239,Iran,IRN,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
240,Iran,IRN,3/19/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
241,Iraq,IRQ,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
242,Iraq,IRQ,3/13/2020,3/25/2020,2_required_exceptions,0_targeted,update,3/22/2020,2_required_exceptions,1_general,TRUE,FALSE
243,Iraq,IRQ,3/26/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
245,Ireland,IRL,3/26/2020,3/27/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
246,Ireland,IRL,3/28/2020,5/17/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
247,Ireland,IRL,5/18/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
244,Ireland,IRL,1/1/2020,3/25/2020,0_no_measures,missing,,,,,,
249,Israel,ISR,3/17/2020,3/19/2020,1_recommended,1_general,update,3/17/2020,2_required_exceptions,1_general,FALSE,FALSE
250,Israel,ISR,3/20/2020,4/7/2020,2_required_exceptions,1_general,update,3/25/2020,3_required,1_general,FALSE,FALSE
251,Israel,ISR,4/8/2020,4/18/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
252,Israel,ISR,4/19/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
248,Israel,ISR,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
253,Italy,ITA,1/1/2020,2/22/2020,0_no_measures,missing,,,,,,
254,Italy,ITA,2/23/2020,3/9/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
255,Italy,ITA,3/10/2020,3/19/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
256,Italy,ITA,3/20/2020,4/9/2020,3_required,1_general,TRUE,,,,TRUE,FALSE
257,Italy,ITA,4/10/2020,5/3/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
258,Italy,ITA,5/4/2020,5/31/2020,1_recommended,1_general,TRUE,,,,TRUE,FALSE
260,Jamaica,JAM,3/13/2020,3/24/2020,3_required,0_targeted,update,3/17/2020,2_required_exceptions,1_general,FALSE,FALSE
261,Jamaica,JAM,3/25/2020,3/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
262,Jamaica,JAM,4/1/2020,4/14/2020,2_required_exceptions,1_general,update,4/1/2020,3_required,1_general,FALSE,FALSE
263,Jamaica,JAM,4/15/2020,4/21/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
264,Jamaica,JAM,4/22/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
259,Jamaica,JAM,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
266,Japan,JPN,4/7/2020,4/15/2020,1_recommended,0_targeted,FALSE,,,,TRUE,TRUE
267,Japan,JPN,4/16/2020,5/13/2020,1_recommended,1_general,FALSE,,,,TRUE,TRUE
268,Japan,JPN,5/14/2020,5/24/2020,1_recommended,0_targeted,FALSE,,,,TRUE,TRUE
265,Japan,JPN,1/1/2020,4/6/2020,0_no_measures,missing,,,,,,
269,Japan,JPN,5/25/2020,5/31/2020,0_no_measures,missing,,,,,,
270,Jordan,JOR,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
271,Jordan,JOR,3/18/2020,4/26/2020,3_required,1_general,update,3/21/2020,3_required,1_general,FALSE,FALSE
272,Jordan,JOR,4/27/2020,5/11/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
273,Jordan,JOR,5/12/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
274,Kazakhstan,KAZ,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
275,Kazakhstan,KAZ,3/19/2020,5/10/2020,3_required,0_targeted,TRUE,,,,TRUE,FALSE
